time,id,status,currency,buying_power,regt_buying_power,daytrading_buying_power,cash,portfolio_value,pattern_day_trader,trading_blocked,transfers_blocked,account_blocked,created_at,trade_suspended_by_user,multiplier,shorting_enabled,equity,last_equity,long_market_value,short_market_value,initial_margin,maintenance_margin,last_maintenance_margin,sma,daytrade_count
2019-05-18 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9797.94,9797.94,0,5671.1,5408.32,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5408.32,5408.32,377.96,-640.74,509.35,113.39,113.39,0,0
2019-05-19 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9797.94,9797.94,0,5671.1,5408.32,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5408.32,5408.32,377.96,-640.74,509.35,113.39,113.39,0,0
2019-05-20 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9823.24,9823.24,0,5671.1,5408.9,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5408.9,5408.32,366.18,-628.38,497.28,109.85,113.39,0,0
2019-05-21 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9789.02,9789.02,0,5671.1,5402.16,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5402.16,5408.9,373.18,-642.12,507.65,111.95,109.85,0,0
2019-05-22 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9785.92,9785.92,0,5671.1,5396.06,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5396.06,5402.16,365.58,-640.62,503.1,109.67,111.95,0,0
2019-05-23 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9796.6,9796.6,0,5671.1,5395.46,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5395.46,5396.06,359.34,-634.98,497.16,107.8,109.67,0,0
2019-05-24 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9809.78,9809.78,0,5671.1,5399.04,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5399.04,5395.46,358.12,-630.1800000000001,494.15,107.44,107.8,0,0
2019-05-25 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9809.78,9809.78,0,5671.1,5399.04,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5399.04,5399.04,358.12,-630.1800000000001,494.15,107.44,107.44,0,0
2019-05-26 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9809.78,9809.78,0,5671.1,5399.04,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5399.04,5399.04,358.12,-630.1800000000001,494.15,107.44,107.44,0,0
2019-05-27 00:00:00,0c24d598-5eb8-4839-afeb-a92140ac8144,ACTIVE,USD,9809.78,9809.78,0,5671.1,5399.04,False,False,False,False,2019-01-01T00:00:00Z,False,2,True,5399.04,5399.04,358.12,-630.1800000000001,494.15,107.44,107.44,0,0
